"","x"
"1",25
"2",2
"3",25
"4",25
"5",19
"6",25
"7",5
"8",3
"9",3
"10",15
"11",2
"12",5
"13",2
"14",2
"15",25
"16",1
"17",16
"18",25
"19",2
"20",3
"21",25
"22",25
"23",2
"24",23
"25",25
"26",23
"27",4
"28",25
"29",3
"30",4
"31",13
"32",2
"33",15
"34",2
"35",12
"36",3
"37",24
"38",21
"39",18
"40",4
"41",21
"42",22
"43",25
"44",19
"45",2
"46",19
"47",2
"48",2
"49",25
"50",4
"51",17
"52",1
"53",25
"54",7
"55",16
"56",21
"57",18
"58",4
"59",25
"60",3
"61",19
"62",19
"63",25
"64",25
"65",3
"66",15
"67",17
"68",2
"69",25
"70",13
"71",25
"72",2
"73",2
"74",25
"75",1
"76",2
"77",21
"78",1
"79",2
"80",25
"81",11
"82",1
"83",25
"84",2
"85",2
"86",1
"87",2
"88",2
"89",25
"90",2
"91",21
"92",21
"93",25
"94",25
"95",25
"96",24
"97",25
"98",21
"99",19
"100",21
"101",2
"102",25
"103",15
"104",21
"105",25
"106",25
"107",3
"108",12
"109",24
"110",3
"111",1
"112",20
"113",25
"114",25
"115",2
"116",24
"117",2
"118",25
"119",25
"120",25
"121",25
"122",11
"123",3
"124",17
"125",25
"126",12
"127",25
"128",24
"129",2
"130",3
"131",24
"132",15
"133",1
"134",2
"135",2
"136",16
"137",14
"138",24
"139",25
"140",24
"141",24
"142",17
"143",25
"144",2
"145",3
"146",11
"147",5
"148",14
"149",24
"150",12
"151",4
"152",11
"153",3
"154",7
"155",17
"156",1
"157",3
"158",18
"159",3
"160",5
"161",25
"162",2
"163",23
"164",1
"165",25
"166",3
"167",21
"168",25
"169",3
"170",25
"171",2
"172",24
"173",19
"174",25
"175",2
"176",2
"177",25
"178",3
"179",25
"180",16
"181",14
"182",25
"183",25
"184",17
"185",2
"186",20
"187",25
"188",20
"189",25
"190",18
"191",16
"192",15
"193",3
"194",4
"195",3
"196",3
"197",3
"198",2
"199",2
"200",25
"201",3
"202",25
"203",25
"204",25
"205",25
"206",2
"207",25
"208",23
"209",22
"210",3
"211",15
"212",3
"213",2
"214",9
"215",2
"216",25
"217",25
"218",25
"219",3
"220",4
"221",1
"222",2
"223",25
"224",1
"225",1
"226",3
"227",25
"228",25
"229",18
"230",24
"231",4
"232",1
"233",25
"234",5
"235",25
"236",2
"237",3
