"","x"
"1",2
"2",7
"3",9
"4",25
"5",10
"6",1
"7",23
"8",3
"9",25
"10",10
"11",24
"12",14
"13",25
"14",2
"15",11
"16",2
"17",3
"18",3
"19",24
"20",14
"21",1
"22",25
"23",2
"24",2
"25",3
"26",10
"27",2
"28",3
"29",3
"30",2
"31",3
"32",3
"33",4
"34",2
"35",25
"36",3
"37",2
"38",2
"39",25
"40",4
"41",2
"42",1
"43",22
"44",18
"45",25
"46",2
"47",3
"48",2
"49",3
"50",20
"51",24
"52",25
"53",17
"54",3
"55",13
"56",3
"57",17
"58",21
"59",11
"60",2
"61",16
"62",18
"63",24
"64",2
"65",2
"66",24
"67",5
"68",2
"69",25
"70",18
"71",3
"72",3
"73",3
"74",9
"75",3
"76",3
"77",25
"78",1
"79",1
"80",3
"81",3
"82",2
"83",2
"84",6
"85",1
"86",2
"87",6
"88",10
"89",3
"90",13
"91",19
"92",2
"93",2
"94",2
"95",25
"96",25
"97",2
"98",12
"99",1
"100",1
"101",2
"102",25
"103",10
"104",1
"105",5
"106",2
"107",5
"108",4
"109",2
"110",5
"111",2
"112",10
"113",11
"114",3
"115",3
"116",25
"117",3
"118",9
"119",3
"120",3
"121",3
"122",2
"123",2
"124",1
"125",2
"126",9
"127",18
"128",2
"129",10
"130",2
"131",19
"132",2
"133",25
"134",10
"135",9
"136",3
"137",9
"138",17
"139",7
"140",10
"141",2
"142",25
"143",16
"144",4
"145",12
"146",21
"147",4
"148",16
"149",10
"150",17
"151",3
"152",18
"153",11
"154",18
"155",3
"156",3
"157",14
"158",13
"159",3
"160",3
"161",1
"162",2
"163",25
"164",4
"165",24
"166",16
"167",7
"168",8
"169",25
"170",2
"171",1
"172",2
"173",10
"174",24
"175",3
"176",3
"177",3
"178",22
"179",16
"180",1
"181",25
"182",11
"183",25
"184",3
"185",15
"186",16
"187",8
"188",2
"189",2
"190",2
"191",25
"192",9
"193",3
"194",25
"195",25
"196",3
"197",3
"198",3
"199",14
"200",24
"201",14
"202",1
"203",11
"204",19
"205",3
"206",3
"207",9
"208",3
"209",18
"210",2
"211",2
"212",14
"213",14
"214",25
"215",3
"216",11
"217",23
"218",2
"219",3
"220",3
"221",24
"222",3
"223",18
"224",10
"225",25
"226",25
"227",1
"228",9
"229",25
"230",16
"231",15
"232",1
"233",3
"234",11
"235",2
"236",25
"237",2
"238",24
"239",9
"240",9
"241",21
"242",17
"243",25
"244",15
"245",11
"246",25
"247",9
"248",10
"249",3
"250",9
"251",15
"252",8
"253",25
"254",3
"255",2
"256",3
"257",20
"258",9
"259",5
"260",25
"261",21
"262",15
"263",25
"264",2
"265",20
"266",5
"267",9
"268",14
"269",25
"270",14
"271",2
"272",2
"273",9
"274",24
"275",3
"276",2
"277",25
"278",23
"279",24
"280",10
"281",24
"282",2
"283",25
"284",17
"285",3
"286",1
"287",2
"288",25
"289",2
"290",25
"291",17
"292",25
"293",10
"294",24
"295",2
"296",1
"297",3
"298",1
"299",8
"300",2
"301",5
"302",19
"303",15
"304",2
"305",8
"306",1
"307",10
"308",25
"309",4
"310",8
"311",12
"312",23
"313",25
"314",4
"315",19
"316",2
"317",2
"318",17
"319",1
"320",18
"321",10
"322",3
"323",4
"324",19
"325",25
"326",3
"327",2
"328",3
"329",25
"330",25
"331",3
"332",3
"333",14
"334",17
"335",2
"336",3
"337",15
"338",3
"339",2
"340",17
"341",15
"342",19
"343",17
"344",5
"345",2
"346",11
"347",15
"348",25
"349",1
"350",3
"351",3
"352",1
"353",3
"354",2
"355",17
"356",16
"357",17
"358",25
"359",2
"360",15
"361",2
"362",10
"363",24
"364",1
"365",18
"366",3
"367",2
"368",1
"369",3
"370",1
"371",15
"372",2
"373",10
"374",25
"375",10
"376",2
"377",9
"378",2
"379",2
"380",3
"381",20
"382",15
"383",2
"384",2
"385",24
"386",3
"387",2
"388",25
"389",10
"390",25
"391",22
"392",1
"393",24
"394",11
"395",2
"396",25
"397",24
"398",25
"399",4
"400",22
"401",1
"402",25
"403",25
"404",3
"405",19
"406",10
"407",10
"408",16
"409",1
"410",3
"411",25
"412",9
"413",4
"414",16
"415",14
"416",2
"417",25
"418",25
"419",25
"420",25
"421",25
"422",2
"423",24
"424",3
"425",17
"426",3
"427",10
"428",19
"429",2
"430",25
"431",25
"432",12
"433",25
"434",9
"435",3
"436",23
"437",24
"438",1
"439",2
"440",1
"441",9
"442",25
"443",21
"444",25
"445",3
"446",18
"447",2
"448",2
"449",24
"450",10
"451",25
"452",19
"453",2
"454",8
"455",25
"456",2
"457",16
"458",3
"459",3
"460",2
"461",23
"462",1
"463",17
"464",19
"465",9
"466",2
"467",2
"468",24
"469",25
"470",4
"471",3
"472",24
"473",25
"474",25
