"","assig.vecU","assig.vecC","assig.vecAr","assig.vecAm","assig.vecT"
"1",1,6,1,2,6
"2",3,3,3,20,1
"3",2,25,22,7,3
"4",10,6,6,16,14
"5",20,14,6,2,16
"6",2,24,24,4,1
"7",4,4,3,25,10
"8",11,11,11,8,15
"9",18,7,9,10,24
"10",2,21,3,16,17
"11",18,3,3,24,24
"12",7,11,14,14,1
"13",18,4,9,1,9
"14",2,5,3,3,11
"15",9,11,17,17,23
"16",9,5,5,10,22
"17",2,14,6,24,10
"18",18,8,9,24,10
"19",3,3,3,17,1
"20",7,16,14,17,7
"21",2,11,9,12,3
"22",7,23,22,17,6
"23",1,1,8,17,3
"24",2,9,3,17,3
"25",18,9,4,10,1
"26",2,20,22,7,22
"27",10,10,15,3,1
"28",18,6,3,21,14
"29",3,3,3,6,6
"30",18,8,14,22,8
"31",2,10,3,19,9
"32",9,9,9,16,20
"33",18,22,17,24,4
"34",4,6,6,7,6
"35",2,25,20,9,3
"36",2,3,3,10,4
"37",2,6,6,21,3
"38",21,6,3,5,19
"39",2,19,5,5,4
"40",7,13,6,15,8
"41",18,8,17,16,13
"42",2,16,21,15,24
"43",2,20,21,21,22
"44",18,19,8,9,14
"45",20,21,20,10,15
"46",9,5,20,16,3
"47",2,3,16,9,23
"48",2,3,3,14,1
"49",10,7,16,25,3
"50",12,11,11,24,24
"51",12,1,1,3,4
"52",7,13,5,19,3
"53",18,16,10,3,10
"54",2,14,3,8,11
"55",3,13,14,25,20
"56",7,11,14,8,9
"57",2,19,23,13,11
"58",3,3,3,22,24
"59",12,9,11,4,10
"60",18,17,17,20,20
"61",7,15,16,13,17
"62",18,11,17,9,14
"63",20,20,20,24,6
"64",18,11,14,8,12
"65",2,11,5,19,4
"66",15,24,17,2,3
"67",18,11,11,17,4
"68",2,3,3,25,14
"69",1,1,1,6,16
"70",2,13,24,17,3
"71",18,6,5,20,7
"72",2,4,14,8,10
"73",2,4,3,4,5
"74",2,20,9,4,22
"75",2,5,4,15,5
"76",3,3,3,21,6
"77",15,20,20,14,10
"78",18,8,8,25,8
"79",18,7,24,20,3
"80",2,6,3,15,8
"81",9,8,8,9,20
"82",20,15,16,19,3
"83",2,14,22,3,22
"84",9,12,8,11,3
"85",2,16,22,23,13
"86",3,7,16,21,1
"87",7,16,14,20,3
"88",2,3,3,20,20
"89",2,1,1,5,10
"90",18,3,3,1,10
"91",2,11,20,8,6
"92",15,24,8,10,23
"93",2,15,6,3,15
"94",9,8,9,21,6
"95",2,16,21,4,22
"96",18,18,6,12,21
"97",1,5,5,1,18
"98",4,4,4,21,3
"99",18,6,8,22,11
"100",2,5,5,16,6
"101",18,24,8,18,6
"102",9,12,25,16,23
"103",18,6,6,20,14
"104",12,5,24,22,23
"105",15,17,17,8,5
"106",2,13,8,8,13
"107",17,1,1,3,16
"108",1,1,1,20,6
"109",10,10,16,20,3
"110",9,14,14,22,3
"111",18,21,24,3,20
"112",18,8,17,4,17
"113",15,9,17,17,6
"114",9,12,9,9,20
"115",3,3,3,16,6
"116",2,22,14,4,3
"117",3,3,3,16,21
"118",2,20,21,14,5
"119",3,5,5,22,15
"120",2,4,4,20,7
"121",15,9,9,25,6
"122",18,5,5,4,12
"123",17,1,1,5,10
"124",20,4,6,3,14
"125",2,4,16,11,2
"126",8,8,8,22,3
"127",18,24,5,16,15
"128",2,3,4,9,6
"129",21,21,21,5,7
"130",2,3,3,16,17
"131",18,6,9,17,17
"132",20,6,6,20,2
"133",15,17,9,3,17
"134",2,3,3,3,8
"135",18,21,21,3,20
"136",18,8,14,7,17
"137",20,13,8,19,12
"138",2,13,22,10,24
"139",20,1,8,16,7
"140",18,9,9,21,16
"141",18,6,6,8,14
"142",12,17,20,17,13
"143",15,8,8,6,7
"144",21,21,20,20,10
"145",2,3,3,21,5
"146",21,14,14,4,7
"147",9,8,8,22,16
"148",3,3,14,6,3
"149",2,3,3,18,11
"150",10,10,6,24,3
"151",2,4,4,3,3
"152",18,18,1,16,9
"153",18,18,18,17,24
"154",2,22,22,14,1
"155",9,10,4,18,24
"156",18,1,9,15,5
"157",2,3,3,14,22
"158",3,3,3,20,9
"159",7,21,21,20,20
"160",2,3,3,3,6
"161",3,3,6,20,12
"162",9,9,9,6,4
"163",7,16,16,4,3
"164",4,6,4,3,9
"165",15,9,9,6,3
"166",20,6,6,16,1
"167",2,5,1,11,3
"168",3,3,3,6,13
"169",2,4,6,2,17
"170",4,4,4,8,16
"171",15,9,9,3,22
"172",18,21,20,3,9
"173",2,20,23,23,3
"174",18,24,20,8,2
"175",3,3,3,13,13
"176",2,6,21,20,22
