"","assig.vecU","assig.vecC","assig.vecAr","assig.vecAm","assig.vecT"
"1",2,8,1,10,7
"2",9,11,9,7,1
"3",2,1,4,4,1
"4",2,9,11,11,1
"5",11,11,20,5,6
"6",18,13,5,2,6
"7",9,17,11,7,9
"8",18,17,20,7,3
"9",15,3,1,11,6
"10",2,10,22,3,14
"11",9,11,11,5,16
"12",9,11,6,3,20
"13",2,3,6,8,21
"14",2,2,3,6,1
"15",9,9,9,8,6
"16",2,13,9,6,14
"17",2,3,3,11,9
"18",2,4,3,7,1
"19",3,3,3,3,3
"20",2,6,14,2,1
"21",2,8,8,10,1
"22",2,16,14,3,14
"23",2,8,1,2,25
"24",2,20,20,8,20
"25",9,21,18,1,10
"26",2,10,10,8,24
"27",2,3,3,1,19
"28",2,3,3,1,18
"29",2,10,3,10,1
"30",2,4,3,1,14
"31",2,4,3,2,10
"32",2,8,8,2,16
"33",20,22,22,2,14
"34",2,1,1,10,24
"35",2,6,9,7,20
"36",2,8,3,4,20
"37",2,5,5,2,10
"38",21,16,16,11,22
"39",18,24,17,5,3
"40",7,6,6,1,10
"41",2,1,17,5,24
"42",2,16,25,11,1
"43",15,24,20,2,10
"44",18,19,19,5,14
"45",18,9,9,8,15
"46",2,1,1,2,1
"47",2,3,3,7,14
"48",2,4,8,3,14
"49",15,14,22,11,7
"50",18,19,17,3,3
"51",18,17,17,10,10
"52",2,6,23,9,24
"53",18,11,20,3,3
"54",2,3,16,10,21
"55",15,24,24,5,6
"56",2,15,24,2,14
"57",2,9,20,11,10
"58",2,10,16,7,20
"59",9,19,20,6,6
"60",2,5,14,4,24
"61",2,16,16,5,14
"62",2,1,20,7,6
"63",2,8,14,7,14
"64",2,22,16,6,14
"65",2,22,22,8,14
"66",15,17,15,10,17
"67",15,17,17,11,15
"68",2,10,7,6,8
"69",15,20,20,2,14
"70",2,6,6,3,12
"71",2,3,3,11,11
"72",2,3,3,6,20
"73",2,3,3,7,3
"74",2,3,10,5,22
"75",11,20,8,11,8
"76",3,3,3,2,9
"77",15,16,21,11,22
"78",15,17,17,1,15
"79",15,1,4,3,11
"80",3,3,3,11,9
"81",2,4,3,8,10
"82",18,17,20,2,24
"83",15,4,6,2,9
"84",2,5,8,3,21
"85",7,6,20,1,11
"86",7,16,16,11,22
"87",9,11,22,3,10
"88",2,1,8,7,6
"89",21,21,21,3,10
"90",2,3,3,2,9
"91",9,11,11,3,10
"92",15,8,6,3,10
"93",2,9,9,11,3
"94",2,8,9,7,6
"95",2,21,16,7,3
"96",2,4,16,3,3
"97",2,1,8,6,8
"98",21,6,14,2,6
"99",2,19,3,4,3
"100",2,5,1,4,10
"101",2,20,8,10,1
"102",2,23,1,2,10
"103",2,6,4,5,4
"104",9,12,12,9,17
"105",2,8,8,8,14
"106",2,1,8,1,10
"107",9,5,9,2,1
"108",21,6,6,3,8
"109",3,3,3,2,14
"110",20,20,20,2,6
"111",2,18,18,6,3
"112",18,14,17,7,3
"113",18,24,24,9,3
"114",2,6,6,11,4
"115",2,10,5,2,15
"116",2,13,14,1,2
"117",2,10,22,7,4
"118",21,16,16,4,10
"119",2,3,4,7,4
"120",2,10,4,3,3
"121",2,8,8,3,11
"122",2,6,5,6,20
"123",2,6,6,5,22
"124",18,1,14,2,6
"125",2,1,8,3,16
"126",9,13,8,10,3
"127",9,12,15,8,10
"128",2,3,16,1,3
"129",2,21,10,10,11
"130",2,3,16,6,14
"131",18,19,20,11,23
"132",2,1,3,2,8
"133",15,17,11,1,1
"134",2,3,10,9,8
"135",21,21,21,5,1
"136",2,7,7,2,10
"137",9,13,14,10,19
"138",2,5,6,10,1
"139",15,14,14,8,20
"140",2,20,18,2,20
"141",9,8,14,3,4
"142",18,20,21,7,24
"143",18,8,8,7,4
"144",15,14,24,3,24
"145",2,3,3,8,4
"146",21,20,8,7,3
"147",12,19,14,2,4
"148",2,8,4,8,1
"149",2,3,3,8,3
"150",3,20,3,11,9
"151",2,3,3,1,3
"152",18,24,19,9,14
"153",11,11,11,6,8
"154",2,22,4,3,16
"155",2,10,10,3,17
"156",9,17,9,5,3
"157",2,7,5,6,20
"158",2,3,11,7,8
"159",2,4,3,8,22
"160",2,3,3,9,20
"161",2,1,8,8,6
"162",9,8,8,1,10
"163",2,10,16,2,1
"164",21,6,4,9,4
"165",15,12,12,2,13
"166",2,5,19,10,19
"167",2,5,8,8,20
"168",2,3,3,2,3
"169",2,3,3,1,6
"170",2,11,9,11,15
"171",9,9,9,2,12
"172",15,23,15,9,14
"173",2,10,2,3,8
"174",18,24,24,10,6
"175",2,3,14,3,22
"176",2,3,3,5,24
"177",2,3,4,10,21
"178",2,3,13,7,20
"179",21,20,20,11,1
"180",2,9,11,7,24
"181",9,12,20,2,17
"182",15,5,8,6,3
"183",2,16,17,1,8
"184",2,10,16,7,20
